,person:641,person:648,person:652,person:703,handbag:723,backpack:119,bird:753,person:778,bird:779,person:675,bird:791,bird:795,bird:798,bird:799
person:641,0,2443,3375,945,3281,44,3150,514,2468,288,1925,2811,1931,1390
person:648,2443,0,933,1520,838,2398,1301,1952,1040,2183,1033,826,808,1394
person:652,3375,933,0,2453,94,3331,1258,2885,1489,3116,1769,999,1604,2242
person:703,945,1520,2453,0,2359,900,2406,435,1768,669,1252,2005,1162,875
handbag:723,3281,838,94,2359,0,3236,1223,2790,1417,3022,1682,935,1514,2151
backpack:119,44,2398,3331,900,3236,0,3109,470,2428,247,1885,2769,1888,1352
bird:753,3150,1301,1258,2406,1223,3109,0,2762,686,2960,1225,477,1247,1773
person:778,514,1952,2885,435,2790,470,2762,0,2098,233,1560,2388,1518,1080
bird:779,2468,1040,1489,1768,1417,2428,686,2098,0,2287,543,510,615,1086
person:675,288,2183,3116,669,3022,247,2960,233,2287,0,1745,2598,1722,1237
bird:791,1925,1033,1769,1252,1682,1885,1225,1560,543,1745,0,937,243,553
bird:795,2811,826,999,2005,935,2769,477,2388,510,2598,937,0,880,1484
bird:798,1931,808,1604,1162,1514,1888,1247,1518,615,1722,243,880,0,641
bird:799,1390,1394,2242,875,2151,1352,1773,1080,1086,1237,553,1484,641,0
