,person:1,person:2,person:3,person:4,person:5,person:9,person:66,bird:71,person:73,handbag:84,bird:86,bird:88,bird:97,bird:87
person:1,0,868,2603,1937,1329,2283,3086,3144,3415,1444,1509,1088,2894,871
person:2,868,0,1739,1080,463,1420,2222,2355,2555,591,1211,906,2095,715
person:3,2603,1739,0,670,1276,320,484,977,818,1160,1962,2058,757,2063
person:4,1937,1080,670,0,620,350,1153,1353,1477,492,1414,1432,1087,1410
person:5,1329,463,1276,620,0,957,1759,1932,2092,154,1229,1067,1668,957
person:9,2283,1420,320,350,957,0,804,1137,1134,839,1699,1761,881,1753
person:66,3086,2222,484,1153,1759,804,0,901,351,1644,2380,2514,796,2533
bird:71,3144,2355,977,1353,1932,1137,901,0,863,1781,2032,2302,265,2404
person:73,3415,2555,818,1477,2092,1134,351,863,0,1970,2617,2788,865,2825
handbag:84,1444,591,1160,492,154,839,1644,1781,1970,0,1169,1061,1518,984
bird:86,1509,1211,1962,1414,1229,1699,2380,2032,2617,1169,0,421,1845,645
bird:88,1088,906,2058,1432,1067,1761,2514,2302,2788,1061,421,0,2087,234
bird:97,2894,2095,757,1087,1668,881,796,265,865,1518,1845,2087,0,2175
bird:87,871,715,2063,1410,957,1753,2533,2404,2825,984,645,234,2175,0
