,person:641,person:648,person:652,person:703,handbag:723,backpack:119,bird:753,person:778,person:675,bird:791,bird:795,bird:798,bird:799,bird:802,person:803
person:641,0,2444,3372,933,3279,26,3238,513,292,1961,2873,1984,1406,2587,1030
person:648,2444,0,928,1534,836,2418,1358,1955,2181,1010,856,777,1382,988,1417
person:652,3372,928,0,2462,93,3346,1254,2884,3110,1732,965,1554,2225,1357,2346
person:703,933,1534,2462,0,2370,906,2503,425,653,1289,2077,1221,892,1869,149
handbag:723,3279,836,93,2370,0,3253,1224,2791,3017,1646,904,1464,2134,1287,2253
backpack:119,26,2418,3346,906,3253,0,3215,487,267,1939,2849,1960,1384,2565,1004
bird:753,3238,1358,1254,2503,1224,3215,0,2854,3046,1277,502,1284,1845,650,2356
person:778,513,1955,2884,425,2791,487,2854,0,228,1597,2453,1574,1100,2208,540
person:675,292,2181,3110,653,3017,267,3046,228,0,1777,2657,1772,1251,2396,764
bird:791,1961,1010,1732,1289,1646,1939,1277,1597,1777,0,961,242,574,627,1140
bird:795,2873,856,965,2077,904,2849,502,2453,2657,961,0,889,1530,416,1933
bird:798,1984,777,1554,1221,1464,1960,1284,1574,1772,242,889,0,677,649,1073
bird:799,1406,1382,2225,892,2134,1384,1845,1100,1251,574,1530,677,0,1198,761
bird:802,2587,988,1357,1869,1287,2565,650,2208,2396,627,416,649,1198,0,1720
person:803,1030,1417,2346,149,2253,1004,2356,540,764,1140,1933,1073,761,1720,0
