,person:641,person:648,person:652,person:703,handbag:723,backpack:119,bird:753,person:778,person:675,bird:791,bird:795,bird:798,bird:799,bird:802,person:803,kite:807
person:641,0,2452,3372,920,3285,0,3427,517,292,2034,2995,2128,1471,2725,1025,550
person:648,2452,0,920,1555,834,2452,1479,1959,2189,1006,913,698,1341,1027,1430,2450
person:652,3372,920,0,2475,87,3372,1259,2880,3109,1693,899,1421,2168,1293,2350,3345
person:703,920,1555,2475,0,2389,920,2694,408,640,1368,2202,1359,936,2007,155,1099
handbag:723,3285,834,87,2389,0,3285,1241,2794,3023,1612,849,1338,2083,1232,2264,3258
backpack:119,0,2452,3372,920,3285,0,3427,517,292,2034,2995,2128,1470,2725,1025,550
bird:753,3427,1479,1259,2694,1241,3427,0,3036,3232,1394,566,1335,1969,702,2540,3198
person:778,517,1959,2880,408,2794,517,3036,0,232,1667,2568,1708,1153,2338,532,813
person:675,292,2189,3109,640,3023,292,3232,232,0,1850,2777,1912,1311,2531,759,696
bird:791,2034,1006,1693,1368,1612,2034,1394,1667,1850,0,1022,307,577,693,1213,1819
bird:795,2995,913,899,2202,849,2995,566,2568,2777,1022,0,867,1589,422,2052,2832
bird:798,2128,698,1421,1359,1338,2128,1335,1708,1912,307,867,0,758,656,1205,1986
bird:799,1471,1341,2168,936,2083,1470,1969,1153,1311,577,1589,758,0,1270,797,1244
bird:802,2725,1027,1293,2007,1232,2725,702,2338,2531,693,422,656,1270,0,1852,2506
person:803,1025,1430,2350,155,2264,1025,2540,532,759,1213,2052,1205,797,1852,0,1135
kite:807,550,2450,3345,1099,3258,550,3198,813,696,1819,2832,1986,1244,2506,1135,0
