,person:641,person:648,person:652,person:703,handbag:723,backpack:119,person:778,person:675,bird:791,bird:795,bird:798,bird:799,bird:802,person:803,kite:807,bird:808,bird:776
person:641,0,2490,3392,877,3297,25,527,295,2269,3362,2515,1660,3102,1023,642,1438,2925
person:648,2490,0,902,1634,807,2515,1984,2218,1008,1146,598,1217,1178,1468,2406,1301,816
person:652,3392,902,0,2536,95,3417,2887,3121,1581,826,1098,2005,1170,2371,3277,2137,896
person:703,877,1634,2536,0,2441,902,353,590,1619,2593,1749,1074,2393,190,1043,857,2161
handbag:723,3297,807,95,2441,0,3322,2792,3026,1501,813,1016,1914,1132,2276,3183,2044,838
backpack:119,25,2515,3417,902,3322,0,552,320,2290,3385,2538,1680,3123,1049,644,1459,2948
person:778,527,1984,2887,353,2792,552,0,236,1885,2914,2066,1300,2690,518,828,1072,2479
person:675,295,2218,3121,590,3026,320,236,0,2073,3129,2280,1474,2891,750,737,1247,2693
bird:791,2269,1008,1581,1619,1501,2290,1885,2073,0,1177,489,611,843,1431,1933,831,775
bird:795,3362,1146,826,2593,813,3385,2914,3129,1177,0,848,1756,430,2406,3094,1951,436
bird:798,2515,598,1098,1749,1016,2538,2066,2280,489,848,0,949,682,1561,2278,1123,413
bird:799,1660,1217,2005,1074,1914,1680,1300,1474,611,1756,949,0,1452,898,1338,228,1329
bird:802,3102,1178,1170,2393,1132,3123,2690,2891,843,430,682,1452,0,2203,2775,1666,369
person:803,1023,1468,2371,190,2276,1049,518,750,1431,2406,1561,898,2203,0,1088,688,1973
kite:807,642,2406,3277,1043,3183,644,828,737,1933,3094,2278,1338,2775,1088,0,1156,2667
bird:808,1438,1301,2137,857,2044,1459,1072,1247,831,1951,1123,228,1666,688,1156,0,1519
bird:776,2925,816,896,2161,838,2948,2479,2693,775,436,413,1329,369,1973,2667,1519,0
