,person:641,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:795,bird:798,bird:799,bird:802,person:803,kite:807,bird:808,bird:776,bird:810
person:641,0,2501,3396,868,3300,530,299,2316,3435,2575,1712,3180,1029,638,1458,2979,1605
person:648,2501,0,895,1654,800,1990,2224,1011,1196,606,1186,1230,1474,2387,1298,842,1045
person:652,3396,895,0,2549,95,2885,3120,1558,829,1055,1958,1175,2370,3252,2125,874,1887
person:703,868,1654,2549,0,2454,340,576,1668,2672,1815,1116,2477,201,1008,877,2221,904
handbag:723,3300,800,95,2454,0,2790,3024,1480,824,975,1869,1142,2274,3158,2033,820,1794
person:778,530,1990,2885,340,2790,0,236,1924,2980,2119,1339,2761,518,803,1084,2525,1172
person:675,299,2224,3120,576,3024,236,0,2114,3196,2335,1518,2964,750,720,1261,2741,1376
bird:791,2316,1011,1558,1668,1480,1924,2114,0,1206,506,604,874,1471,1953,858,786,765
bird:795,3435,1196,829,2672,824,2980,3196,1206,0,861,1774,445,2473,3141,2006,455,1830
bird:798,2575,606,1055,1815,975,2119,2335,506,861,0,953,707,1615,2310,1164,406,972
bird:799,1712,1186,1958,1116,1869,1339,1518,604,1774,953,0,1475,931,1367,257,1327,288
bird:802,3180,1230,1175,2477,1142,2761,2964,874,445,707,1475,0,2276,2826,1723,396,1589
person:803,1029,1474,2370,201,2274,518,750,1471,2473,1615,931,2276,0,1064,702,2021,706
kite:807,638,2387,3252,1008,3158,803,720,1953,3141,2310,1367,2826,1064,0,1146,2694,1367
bird:808,1458,1298,2125,877,2033,1084,1261,858,2006,1164,257,1723,702,1146,0,1554,257
bird:776,2979,842,874,2221,820,2525,2741,786,455,406,1327,396,2021,2694,1554,0,1374
bird:810,1605,1045,1887,904,1794,1172,1376,765,1830,972,288,1589,706,1367,257,1374,0
