,person:641,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:795,bird:798,bird:799,bird:802,person:803,kite:807,bird:808,bird:776,bird:810,person:811
person:641,0,2531,3407,859,3310,544,313,2425,3590,2742,1802,3355,1041,652,1504,3079,1680,3710
person:648,2531,0,876,1691,780,2003,2236,1028,1301,650,1151,1329,1491,2360,1282,886,1023,1201
person:652,3407,876,0,2567,97,2880,3112,1514,855,948,1893,1171,2368,3207,2089,834,1838,379
person:703,859,1691,2567,0,2471,316,550,1774,2828,1981,1188,2649,217,957,905,2322,978,2884
handbag:723,3310,780,97,2471,0,2783,3016,1432,859,868,1798,1142,2271,3109,1992,780,1741,453
person:778,544,2003,2880,316,2783,0,234,2012,3114,2264,1402,2914,513,774,1104,2605,1228,3192
person:675,313,2236,3112,550,3016,234,0,2202,3330,2480,1584,3117,744,703,1284,2820,1431,3422
bird:791,2425,1028,1514,1774,1432,2012,2202,0,1261,565,623,943,1563,2004,921,796,796,1635
bird:795,3590,1301,855,2828,859,3114,3330,1261,0,850,1838,442,2612,3240,2112,510,1911,649
bird:798,2742,650,948,1981,868,2264,2480,565,850,0,1026,722,1764,2417,1280,340,1065,1090
bird:799,1802,1151,1893,1188,1798,1402,1584,623,1838,1026,0,1559,988,1402,300,1338,277,2102
bird:802,3355,1329,1171,2649,1142,2914,3117,943,442,722,1559,0,2432,2947,1852,448,1686,1057
person:803,1041,1491,2368,217,2271,513,744,1563,2612,1764,988,2432,0,1024,717,2105,766,2679
kite:807,652,2360,3207,957,3109,774,703,2004,3240,2417,1402,2947,1024,0,1138,2739,1374,3464
bird:808,1504,1282,2089,905,1992,1104,1284,921,2112,1280,300,1852,717,1138,0,1606,258,2329
bird:776,3079,886,834,2322,780,2605,2820,796,510,340,1338,448,2105,2739,1606,0,1401,859
bird:810,1680,1023,1838,978,1741,1228,1431,796,1911,1065,277,1686,766,1374,258,1401,0,2089
person:811,3710,1201,379,2884,453,3192,3422,1635,649,1090,2102,1057,2679,3464,2329,859,2089,0
