,person:641,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:795,bird:798,bird:799,bird:802,person:803,kite:807,bird:776,person:811
person:641,0,2537,3407,853,3316,548,317,2477,3670,2831,1847,3438,1041,673,3136,3715
person:648,2537,0,870,1703,779,2005,2237,1038,1367,690,1125,1379,1498,2346,919,1200
person:652,3407,870,0,2572,92,2875,3108,1490,883,895,1852,1168,2368,3185,813,379
person:703,853,1703,2572,0,2482,306,541,1829,2913,2074,1229,2734,221,949,2382,2895
handbag:723,3316,779,92,2482,0,2785,3017,1413,890,821,1763,1144,2277,3093,765,448
person:778,548,2005,2875,306,2785,0,234,2059,3189,2349,1439,2990,509,776,2656,3193
person:675,317,2237,3108,541,3017,234,0,2250,3406,2565,1623,3195,740,713,2872,3424
bird:791,2477,1038,1490,1829,1413,2059,2250,0,1292,599,630,977,1613,2029,808,1611
bird:795,3670,1367,883,2913,890,3189,3406,1292,0,840,1871,436,2692,3295,534,652
bird:798,2831,690,895,2074,821,2349,2565,599,840,0,1066,715,1853,2481,307,1023
bird:799,1847,1125,1852,1229,1763,1439,1623,630,1871,1066,0,1597,1024,1423,1349,2066
bird:802,3438,1379,1168,2734,1144,2990,3195,977,436,715,1597,0,2513,3006,464,1037
person:803,1041,1498,2368,221,2277,509,740,1613,2692,1853,1024,2513,0,1014,2160,2684
kite:807,673,2346,3185,949,3093,776,713,2029,3295,2481,1423,3006,1014,0,2771,3448
bird:776,3136,919,813,2382,765,2656,2872,808,534,307,1349,464,2160,2771,0,827
person:811,3715,1200,379,2895,448,3193,3424,1611,652,1023,2066,1037,2684,3448,827,0
