,person:641,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:795,bird:798,bird:799,bird:802,person:803,kite:807,bird:776,person:811,bird:815,bird:808,bird:783
person:641,0,2548,3412,844,3319,546,318,2594,3809,3071,1954,3620,1045,734,3258,3723,2938,1596,3653
person:648,2548,0,864,1717,773,2011,2240,1054,1477,827,1074,1484,1503,2316,993,1193,516,1235,1308
person:652,3412,864,0,2582,94,2876,3105,1440,938,784,1772,1167,2368,3146,781,369,591,2020,806
person:703,844,1717,2582,0,2490,298,528,1933,3048,2307,1313,2902,228,933,2498,2904,2137,976,2886
handbag:723,3319,773,94,2490,0,2784,3013,1363,954,723,1680,1154,2276,3052,740,440,505,1926,812
person:778,546,2011,2876,298,2784,0,230,2161,3318,2577,1526,3156,509,782,2767,3195,2421,1173,3158
person:675,318,2240,3105,528,3013,230,0,2351,3532,2792,1711,3359,737,734,2981,3422,2644,1354,3373
bird:791,2594,1054,1440,1933,1363,2161,2351,0,1320,701,640,1050,1712,2085,829,1554,867,998,1199
bird:795,3809,1477,938,3048,954,3318,3532,1320,0,740,1903,389,2820,3377,551,685,964,2241,169
bird:798,3071,827,784,2307,723,2577,2792,701,740,0,1195,660,2079,2664,191,853,345,1518,582
bird:799,1954,1074,1772,1313,1680,1526,1711,640,1903,1195,0,1675,1100,1474,1367,1987,1191,357,1761
bird:802,3620,1484,1167,2902,1154,3156,3359,1050,389,660,1675,0,2674,3135,494,1003,979,2028,400
person:803,1045,1503,2368,228,2276,509,737,1712,2820,2079,1100,2674,0,996,2270,2685,1913,776,2658
kite:807,734,2316,3146,933,3052,782,734,2085,3377,2664,1474,3135,996,0,2840,3413,2606,1148,3235
bird:776,3258,993,781,2498,740,2767,2981,829,551,191,1367,494,2270,2840,0,764,485,1697,396
person:811,3723,1193,369,2904,440,3195,3422,1554,685,853,1987,1003,2685,3413,764,0,806,2269,603
bird:815,2938,516,591,2137,505,2421,2644,867,964,345,1191,979,1913,2606,485,806,0,1463,795
bird:808,1596,1235,2020,976,1926,1173,1354,998,2241,1518,357,2028,776,1148,1697,2269,1463,0,2094
bird:783,3653,1308,806,2886,812,3158,3373,1199,169,582,1761,400,2658,3235,396,603,795,2094,0
