,person:641,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:798,bird:799,bird:802,person:803,bird:776,person:811,bird:815,bird:808
person:641,0,2558,3420,855,3328,556,329,2646,3139,2011,3715,1053,3333,3734,3028,1648
person:648,2558,0,862,1717,772,2012,2239,1056,875,1047,1535,1505,1047,1191,575,1217
person:652,3420,862,0,2580,93,2875,3102,1416,776,1731,1168,2368,783,360,526,1992
person:703,855,1717,2580,0,2489,299,527,1974,2367,1357,2983,228,2564,2904,2216,1021
handbag:723,3328,772,93,2489,0,2784,3011,1339,719,1640,1161,2276,748,433,444,1899
person:778,556,2012,2875,299,2784,0,228,2204,2637,1573,3240,509,2834,3196,2501,1218
person:675,329,2239,3102,527,3011,228,0,2392,2849,1758,3443,734,3045,3421,2722,1397
bird:791,2646,1056,1416,1974,1339,2204,2392,0,705,635,1096,1752,844,1538,897,998
bird:798,3139,875,776,2367,719,2637,2849,705,0,1201,665,2139,197,837,362,1537
bird:799,2011,1047,1731,1357,1640,1573,1758,635,1201,0,1714,1141,1381,1953,1224,363
bird:802,3715,1535,1168,2983,1161,3240,3443,1096,665,1714,0,2755,490,1000,982,2074
person:803,1053,1505,2368,228,2276,509,734,1752,2139,1141,2755,0,2337,2687,1993,818
bird:776,3333,1047,783,2564,748,2834,3045,844,197,1381,490,2337,0,756,493,1723
person:811,3734,1191,360,2904,433,3196,3421,1538,837,1953,1000,2687,756,0,734,2246
bird:815,3028,575,526,2216,444,2501,2722,897,362,1224,982,1993,493,734,0,1511
bird:808,1648,1217,1992,1021,1899,1218,1397,998,1537,363,2074,818,1723,2246,1511,0
