,person:641,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:798,bird:799,bird:802,person:803,bird:776,person:811,bird:808,bird:816,bird:818
person:641,0,2545,3412,852,3319,551,325,2729,3298,2091,3873,1048,3441,3726,1695,1859,3734
person:648,2545,0,867,1713,776,2012,2240,1078,1015,992,1692,1499,1154,1192,1179,887,1424
person:652,3412,867,0,2581,93,2880,3108,1370,749,1647,1251,2366,795,342,1944,1670,916
person:703,852,1713,2581,0,2490,303,533,2075,2543,1447,3161,232,2689,2903,1087,1148,2984
handbag:723,3319,776,93,2490,0,2789,3016,1299,715,1558,1259,2275,777,423,1852,1577,927
person:778,551,2012,2880,303,2789,0,229,2309,2817,1672,3421,515,2963,3200,1291,1397,3257
person:675,325,2240,3108,533,3016,229,0,2499,3029,1859,3624,741,3174,3427,1470,1600,3469
bird:791,2729,1078,1370,2075,1299,2309,2499,0,765,639,1167,1846,863,1500,1033,930,1115
bird:798,3298,1015,749,2543,715,2817,3029,765,0,1269,677,2311,147,770,1647,1440,441
bird:799,2091,992,1647,1447,1558,1672,1859,639,1269,0,1787,1223,1400,1878,396,339,1682
bird:802,3873,1692,1251,3161,1259,3421,3624,1167,677,1787,0,2928,540,1082,2183,2024,336
person:803,1048,1499,2366,232,2275,515,741,1846,2311,1223,2928,0,2457,2685,875,917,2752
bird:776,3441,1154,795,2689,777,2963,3174,863,147,1400,540,2457,0,750,1782,1582,294
person:811,3726,1192,342,2903,423,3200,3427,1500,770,1878,1082,2685,750,0,2205,1944,754
bird:808,1695,1179,1944,1087,1852,1291,1470,1033,1647,396,2183,875,1782,2205,0,293,2069
bird:816,1859,887,1670,1148,1577,1397,1600,930,1440,339,2024,917,1582,1944,293,0,1875
bird:818,3734,1424,916,2984,927,3257,3469,1115,441,1682,336,2752,294,754,2069,1875,0
