,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:798,bird:799,person:803,person:811,bird:808
person:648,0,873,1699,792,1995,2223,1162,1332,899,1484,1206,1064
person:652,873,0,2572,81,2868,3096,1283,855,1474,2357,337,1815
person:703,1699,2572,0,2492,299,529,2299,2877,1622,234,2906,1177
handbag:723,792,81,2492,0,2788,3015,1233,859,1399,2276,414,1735
person:778,1995,2868,299,2788,0,229,2537,3149,1857,514,3201,1394
person:675,2223,3096,529,3015,229,0,2731,3361,2050,739,3428,1581
bird:791,1162,1283,2299,1233,2537,2731,0,821,680,2067,1422,1151
bird:798,1332,855,2877,859,3149,3361,821,0,1378,2644,796,1841
bird:799,899,1474,1622,1399,1857,2050,680,1378,0,1392,1729,475
person:803,1484,2357,234,2276,514,739,2067,2644,1392,0,2688,956
person:811,1206,337,2906,414,3201,3428,1422,796,1729,2688,0,2105
bird:808,1064,1815,1177,1735,1394,1581,1151,1841,475,956,2105,0
