,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:798,bird:799,person:803,person:811,bird:808,bird:820
person:648,0,876,1695,797,1991,2218,1188,1411,884,1482,1211,1053,1257
person:652,876,0,2571,81,2868,3094,1267,900,1434,2359,339,1794,2056
person:703,1695,2571,0,2492,300,528,2357,2958,1670,230,2906,1218,954
handbag:723,797,81,2492,0,2789,3015,1218,907,1360,2279,415,1715,1976
person:778,1991,2868,300,2789,0,227,2598,3230,1908,511,3202,1436,1145
person:675,2218,3094,528,3015,227,0,2791,3442,2102,736,3428,1622,1321
bird:791,1188,1267,2357,1218,2598,2791,0,830,689,2128,1393,1172,1482
bird:798,1411,900,2958,907,3230,3442,830,0,1402,2728,811,1884,2195
bird:799,884,1434,1670,1360,1908,2102,689,1402,0,1442,1686,490,803
person:803,1482,2359,230,2279,511,736,2128,2728,1442,0,2692,999,753
person:811,1211,339,2906,415,3202,3428,1393,811,1686,2692,0,2083,2358
bird:808,1053,1794,1218,1715,1436,1622,1172,1884,490,999,2083,0,313
bird:820,1257,2056,954,1976,1145,1321,1482,2195,803,753,2358,313,0
