,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:799,person:803,person:811,bird:808,bird:820,kite:807
person:648,0,903,1666,814,1961,2196,1389,861,1456,1247,920,1102,1941
person:652,903,0,2569,91,2865,3100,1217,1220,2360,348,1604,1888,2797
person:703,1666,2569,0,2480,297,535,2682,1939,224,2913,1431,1121,823
handbag:723,814,91,2480,0,2775,3010,1187,1145,2271,434,1517,1798,2706
person:778,1961,2865,297,2775,0,237,2933,2191,507,3207,1665,1334,800
person:675,2196,3100,535,3010,237,0,3136,2396,740,3442,1861,1521,853
bird:791,1389,1217,2682,1187,2933,3136,0,742,2458,1251,1277,1626,2531
bird:799,861,1220,1939,1145,2191,2396,742,0,1716,1440,549,901,1834
person:803,1456,2360,224,2271,507,740,2458,1716,0,2702,1213,915,802
person:811,1247,348,2913,434,3207,3442,1251,1440,2702,0,1882,2186,3110
bird:808,920,1604,1431,1517,1665,1861,1277,549,1213,1882,0,351,1288
bird:820,1102,1888,1121,1798,1334,1521,1626,901,915,2186,351,0,943
kite:807,1941,2797,823,2706,800,853,2531,1834,802,3110,1288,943,0
