,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:799,person:803,person:811,bird:808,bird:820,bird:824
person:648,0,903,1670,811,1962,2199,1431,871,1456,1249,891,1079,663
person:652,903,0,2572,93,2865,3102,1213,1177,2359,352,1555,1851,1331
person:703,1670,2572,0,2481,294,534,2751,2002,227,2919,1479,1170,1532
handbag:723,811,93,2481,0,2773,3010,1189,1103,2267,440,1466,1760,1242
person:778,1962,2865,294,2773,0,239,3001,2253,507,3211,1715,1384,1790
person:675,2199,3102,534,3010,239,0,3207,2462,743,3448,1915,1575,2004
bird:791,1431,1213,2751,1189,3001,3207,0,749,2525,1227,1294,1646,1220
bird:799,871,1177,2002,1103,2253,2462,749,0,1776,1389,559,917,474
person:803,1456,2359,227,2267,507,743,2525,1776,0,2704,1259,962,1305
person:811,1249,352,2919,440,3211,3448,1227,1389,2704,0,1832,2149,1621
bird:808,891,1555,1479,1466,1715,1915,1294,559,1259,1832,0,357,236
bird:820,1079,1851,1170,1760,1384,1575,1646,917,962,2149,357,0,529
bird:824,663,1331,1532,1242,1790,2004,1220,474,1305,1621,236,529,0
