,person:648,person:652,person:703,handbag:723,person:778,person:675,kite:791,bird:799,person:803,person:811,bird:808,bird:820,bird:824,bird:807
person:648,0,904,1678,816,1958,2198,1520,904,1451,1258,875,1075,616,1859
person:652,904,0,2582,90,2862,3102,1217,1103,2355,359,1493,1820,1214,2714
person:703,1678,2582,0,2495,282,523,2891,2128,239,2937,1578,1263,1662,798
handbag:723,816,90,2495,0,2774,3014,1198,1033,2267,443,1407,1731,1127,2623
person:778,1958,2862,282,2774,0,241,3131,2369,508,3216,1803,1463,1911,802
person:675,2198,3102,523,3014,241,0,3343,2584,747,3455,2009,1657,2132,886
kite:791,1520,1217,2891,1198,3131,3343,0,763,2654,1192,1337,1710,1233,2667
bird:799,904,1103,2128,1033,2369,2584,763,0,1891,1300,593,975,474,1945
person:803,1451,2355,239,2267,508,747,2654,1891,0,2708,1348,1047,1424,765
person:811,1258,359,2937,443,3216,3455,1192,1300,2708,0,1769,2117,1503,3037
bird:808,875,1493,1578,1407,1803,2009,1337,593,1348,1769,0,382,287,1353
bird:820,1075,1820,1263,1731,1463,1657,1710,975,1047,2117,382,0,614,970
bird:824,616,1214,1662,1127,1911,2132,1233,474,1424,1503,287,614,0,1561
bird:807,1859,2714,798,2623,802,886,2667,1945,765,3037,1353,970,1561,0
