,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:86,kite:71
person:1,0,871,2603,1934,1346,2264,3052,3413,1467,3113
person:2,871,0,1736,1073,477,1398,2185,2549,1273,2325
person:3,2603,1736,0,673,1258,338,449,816,2127,972
person:4,1934,1073,673,0,599,336,1122,1478,1570,1337
person:5,1346,477,1258,599,0,921,1707,2072,1348,1892
person:9,2264,1398,338,336,921,0,788,1151,1851,1139
person:66,3052,2185,449,1122,1707,788,0,381,2517,909
person:73,3413,2549,816,1478,2072,1151,381,0,2782,885
bird:86,1467,1273,2127,1570,1348,1851,2517,2782,0,2158
kite:71,3113,2325,972,1337,1892,1139,909,885,2158,0
