,person:648,person:652,person:703,handbag:723,person:778,person:675,kite:791,bird:799,person:803,person:811,bird:808,bird:820,bird:824,bird:807,kite:828
person:648,0,903,1689,814,1961,2199,1569,929,1450,1259,882,1065,573,1847,1160
person:652,903,0,2592,91,2865,3102,1223,1069,2353,361,1464,1791,1140,2699,656
person:703,1689,2592,0,2504,275,514,2969,2200,251,2949,1647,1320,1722,809,2743
handbag:723,814,91,2504,0,2776,3013,1211,1003,2264,446,1379,1702,1053,2608,649
person:778,1961,2865,275,2776,0,238,3204,2436,513,3220,1867,1517,1968,821,3000
person:675,2199,3102,514,3013,238,0,3414,2648,748,3457,2069,1707,2188,904,3225
kite:791,1569,1223,2969,1211,3204,3414,0,769,2720,1178,1350,1735,1257,2721,566
bird:799,929,1069,2200,1003,2436,2648,769,0,1950,1254,604,997,495,1993,699
person:803,1450,2353,251,2264,513,748,2720,1950,0,2708,1405,1092,1471,767,2492
person:811,1259,361,2949,446,3220,3457,1178,1254,2708,0,1735,2087,1431,3024,653
bird:808,882,1464,1647,1379,1867,2069,1350,604,1405,1735,0,392,340,1389,1275
bird:820,1065,1791,1320,1702,1517,1707,1735,997,1092,2087,392,0,655,996,1662
bird:824,573,1140,1722,1053,1968,2188,1257,495,1471,1431,340,655,0,1615,1048
bird:807,1847,2699,809,2608,821,904,2721,1993,767,3024,1389,996,1615,0,2652
kite:828,1160,656,2743,649,3000,3225,566,699,2492,653,1275,1662,1048,2652,0
