,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:799,person:803,person:811,bird:808,bird:820,bird:824,kite:807,kite:828
person:648,0,903,1698,815,1959,2196,1629,957,1448,1264,884,1040,547,1833,1167
person:652,903,0,2602,91,2863,3100,1243,1038,2352,365,1435,1745,1087,2683,632
person:703,1698,2602,0,2514,263,502,3052,2268,260,2963,1705,1385,1769,813,2770
handbag:723,815,91,2514,0,2775,3012,1235,974,2264,449,1351,1657,1000,2592,627
person:778,1959,2863,263,2775,0,238,3279,2496,512,3223,1916,1577,2007,831,3017
person:675,2196,3100,502,3012,238,0,3489,2709,748,3460,2119,1768,2228,918,3243
bird:791,1629,1243,3052,1235,3279,3489,0,784,2794,1177,1377,1749,1299,2781,611
bird:799,957,1038,2268,974,2496,2709,784,0,2010,1213,619,999,524,2040,674
person:803,1448,2352,260,2264,512,748,2794,2010,0,2712,1454,1149,1508,768,2509
person:811,1264,365,2963,449,3223,3460,1177,1213,2712,0,1704,2041,1383,3012,620
bird:808,884,1435,1705,1351,1916,2119,1377,619,1454,1704,0,379,371,1420,1260
bird:820,1040,1745,1385,1657,1577,1768,1749,999,1149,2041,379,0,659,1041,1631
bird:824,547,1087,1769,1000,2007,2228,1299,524,1508,1383,371,659,0,1648,1025
kite:807,1833,2683,813,2592,831,918,2781,2040,768,3012,1420,1041,1648,0,2660
kite:828,1167,632,2770,627,3017,3243,611,674,2509,620,1260,1631,1025,2660,0
