,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:799,person:803,person:811,bird:808,bird:820,bird:824,bird:807,bird:828
person:648,0,902,1701,814,1960,2197,1700,993,1448,1266,887,1016,549,1794,1178
person:652,902,0,2603,91,2862,3099,1281,1015,2350,369,1402,1703,1048,2641,613
person:703,1701,2603,0,2515,263,502,3139,2336,265,2968,1766,1434,1818,822,2795
handbag:723,814,91,2515,0,2774,3011,1276,954,2261,453,1317,1614,960,2549,611
person:778,1960,2862,263,2774,0,239,3360,2559,513,3226,1972,1622,2052,843,3038
person:675,2197,3099,502,3011,239,0,3571,2774,749,3463,2176,1816,2274,940,3266
bird:791,1700,1281,3139,1276,3360,3571,0,803,2875,1189,1402,1780,1338,2821,667
bird:799,993,1015,2336,954,2559,2774,803,0,2072,1173,628,1013,543,2063,655
person:803,1448,2350,265,2261,513,749,2875,2072,0,2713,1509,1189,1552,756,2530
person:811,1266,369,2968,453,3226,3463,1189,1173,2713,0,1665,1997,1342,2972,585
bird:808,887,1402,1766,1317,1972,2176,1402,628,1509,1665,0,384,378,1434,1241
bird:820,1016,1703,1434,1614,1622,1816,1780,1013,1189,1997,384,0,656,1049,1613
bird:824,549,1048,1818,960,2052,2274,1338,543,1552,1342,378,656,0,1652,1004
bird:807,1794,2641,822,2549,843,940,2821,2063,756,2972,1434,1049,1652,0,2647
bird:828,1178,613,2795,611,3038,3266,667,655,2530,585,1241,1613,1004,2647,0
