,person:648,person:652,person:703,handbag:723,person:778,person:675,kite:791,bird:799,person:803,person:811,bird:808,bird:820,bird:824
person:648,0,906,1702,821,1956,2190,1855,1087,1442,1278,893,990,606
person:652,906,0,2608,87,2863,3097,1373,977,2349,377,1323,1640,1003
person:703,1702,2608,0,2523,256,492,3309,2480,268,2980,1886,1522,1918
handbag:723,821,87,2523,0,2778,3012,1383,933,2263,458,1247,1557,924
person:778,1956,2863,256,2778,0,236,3531,2706,515,3234,2097,1717,2151
person:675,2190,3097,492,3012,236,0,3739,2918,748,3468,2299,1908,2369
kite:791,1855,1373,3309,1383,3531,3739,0,830,3044,1239,1444,1854,1404
bird:799,1087,977,2480,933,2706,2918,830,0,2214,1097,650,1068,575
person:803,1442,2349,268,2263,515,748,3044,2214,0,2719,1627,1276,1650
person:811,1278,377,2980,458,3234,3468,1239,1097,2719,0,1576,1933,1287
bird:808,893,1323,1886,1247,2097,2299,1444,650,1627,1576,0,418,339
bird:820,990,1640,1522,1557,1717,1908,1854,1068,1276,1933,418,0,645
bird:824,606,1003,1918,924,2151,2369,1404,575,1650,1287,339,645,0
