,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:799,person:803,person:811,bird:808,bird:820,bird:824,bird:832
person:648,0,912,1695,832,1950,2184,1963,1195,1431,1295,922,1003,644,1311
person:652,912,0,2607,82,2862,3097,1443,968,2343,387,1252,1603,889,2121
person:703,1695,2607,0,2528,256,493,3423,2621,274,2990,2010,1621,2051,1033
handbag:723,832,82,2528,0,2782,3017,1455,936,2263,463,1184,1527,817,2039
person:778,1950,2862,256,2782,0,237,3648,2850,521,3244,2226,1818,2287,1188
person:675,2184,3097,493,3017,237,0,3855,3061,754,3478,2428,2008,2506,1354
bird:791,1963,1443,3423,1455,3648,3855,0,806,3151,1282,1430,1877,1397,2561
bird:799,1195,968,2621,936,2850,3061,806,0,2348,1044,663,1126,593,1802
person:803,1431,2343,274,2263,521,754,3151,2348,0,2724,1743,1368,1776,827
person:811,1295,387,2990,463,3244,3478,1282,1044,2724,0,1493,1893,1165,2458
bird:808,922,1252,2010,1184,2226,2428,1430,663,1743,1493,0,463,376,1140
bird:820,1003,1603,1621,1527,1818,2008,1877,1126,1368,1893,463,0,728,684
bird:824,644,889,2051,817,2287,2506,1397,593,1776,1165,376,728,0,1327
bird:832,1311,2121,1033,2039,1188,1354,2561,1802,827,2458,1140,684,1327,0
