,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:799,person:803,person:811,bird:808,bird:820,bird:824,bird:832,bird:807
person:648,0,906,1703,825,1957,2191,1251,1435,1293,946,1010,659,1279,1636
person:652,906,0,2609,83,2863,3098,972,2341,392,1219,1579,834,2076,2478
person:703,1703,2609,0,2529,256,494,2703,280,2997,2086,1679,2113,1075,847
handbag:723,825,83,2529,0,2782,3017,947,2260,469,1154,1503,764,1994,2395
person:778,1957,2863,256,2782,0,237,2927,523,3250,2297,1870,2347,1228,921
person:675,2191,3098,494,3017,237,0,3139,756,3484,2500,2059,2567,1397,1044
bird:799,1251,972,2703,947,2927,3139,0,2422,1021,669,1156,619,1829,2264
person:803,1435,2341,280,2260,523,756,2422,0,2727,1811,1416,1832,852,723
person:811,1293,392,2997,469,3250,3484,1021,2727,0,1450,1867,1106,2417,2830
bird:808,946,1219,2086,1154,2297,2500,669,1811,1450,0,487,399,1162,1596
bird:820,1010,1579,1679,1503,1870,2059,1156,1416,1867,487,0,760,685,1114
bird:824,659,834,2113,764,2347,2567,619,1832,1106,399,760,0,1345,1774
bird:832,1279,2076,1075,1994,1228,1397,1829,852,2417,1162,685,1345,0,434
bird:807,1636,2478,847,2395,921,1044,2264,723,2830,1596,1114,1774,434,0
