,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:799,person:803,person:811,bird:808,bird:820,bird:824,bird:807
person:648,0,908,1705,827,1955,2191,1311,1434,1301,979,1013,699,1596
person:652,908,0,2613,82,2864,3099,983,2342,397,1192,1552,771,2437
person:703,1705,2613,0,2533,253,491,2774,282,3006,2158,1730,2193,849
handbag:723,827,82,2533,0,2783,3019,964,2262,474,1129,1477,704,2355
person:778,1955,2864,253,2783,0,238,2998,524,3256,2370,1923,2427,939
person:675,2191,3099,491,3019,238,0,3210,757,3491,2573,2112,2648,1067
bird:799,1311,983,2774,964,2998,3210,0,2492,1007,668,1175,622,2294
person:803,1434,2342,282,2262,524,757,2492,0,2733,1881,1466,1910,714
person:811,1301,397,3006,474,3256,3491,1007,2733,0,1411,1837,1034,2794
bird:808,979,1192,2158,1129,2370,2573,668,1881,1411,0,507,429,1628
bird:820,1013,1552,1730,1477,1923,2112,1175,1466,1837,507,0,803,1129
bird:824,699,771,2193,704,2427,2648,622,1910,1034,429,803,0,1817
bird:807,1596,2437,849,2355,939,1067,2294,714,2794,1628,1129,1817,0
