,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:799,person:803,person:811,bird:808,bird:820,bird:824
person:648,0,900,1723,814,1961,2199,1500,1439,1312,1093,1005,829
person:652,900,0,2623,88,2862,3099,1052,2340,416,1137,1423,702
person:703,1723,2623,0,2538,240,481,3013,294,3035,2376,1925,2377
handbag:723,814,88,2538,0,2776,3014,1049,2254,498,1082,1348,645
person:778,1961,2862,240,2776,0,241,3227,524,3273,2579,2114,2599
person:675,2199,3099,481,3014,241,0,3441,759,3510,2784,2308,2822
bird:799,1500,1052,3013,1049,3227,3441,0,2721,987,690,1199,675
person:803,1439,2340,294,2254,524,759,2721,0,2750,2088,1647,2083
person:811,1312,416,3035,498,3273,3510,987,2750,0,1315,1698,925
bird:808,1093,1137,2376,1082,2579,2784,690,2088,1315,0,509,436
bird:820,1005,1423,1925,1348,2114,2308,1199,1647,1698,509,0,774
bird:824,829,702,2377,645,2599,2822,675,2083,925,436,774,0
