,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:799,person:803,person:811,bird:808,bird:820,bird:824,person:838,bird:845
person:648,0,898,1738,809,1968,2199,1753,1436,1324,1265,995,1091,202,1085
person:652,898,0,2636,93,2867,3097,1203,2334,430,1112,1281,652,696,1808
person:703,1738,2636,0,2547,234,467,3308,313,3062,2650,2107,2708,1940,1347
handbag:723,809,93,2547,0,2777,3008,1218,2245,516,1071,1206,630,606,1717
person:778,1968,2867,234,2777,0,233,3513,534,3292,2846,2294,2923,2171,1509
person:675,2199,3097,467,3008,233,0,3722,763,3522,3048,2489,3141,2401,1689
bird:799,1753,1203,3308,1218,3513,3722,0,2995,1040,703,1273,665,1588,2091
person:803,1436,2334,313,2245,534,763,2995,0,2759,2341,1803,2394,1638,1068
person:811,1324,430,3062,516,3292,3522,1040,2759,0,1212,1538,730,1122,2169
bird:808,1265,1112,2650,1071,2846,3048,703,2341,1212,0,572,486,1155,1394
bird:820,995,1281,2107,1206,2294,2489,1273,1803,1538,572,0,857,977,822
bird:824,1091,652,2708,630,2923,3141,665,2394,730,486,857,0,922,1599
person:838,202,696,1940,606,2171,2401,1588,1638,1122,1155,977,922,0,1214
bird:845,1085,1808,1347,1717,1509,1689,2091,1068,2169,1394,822,1599,1214,0
