,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:799,person:803,person:811,bird:808,bird:820,person:838
person:648,0,893,1746,805,1971,2203,1789,1440,1323,1298,1017,203
person:652,893,0,2639,90,2865,3097,1227,2334,434,1059,1260,692
person:703,1746,2639,0,2551,230,464,3358,318,3069,2745,2167,1948
handbag:723,805,90,2551,0,2777,3008,1250,2245,519,1034,1194,603
person:778,1971,2865,230,2777,0,233,3557,534,3294,2938,2348,2174
person:675,2203,3097,464,3008,233,0,3768,764,3525,3145,2546,2405
bird:799,1789,1227,3358,1250,3557,3768,0,3040,1048,637,1264,1623
person:803,1440,2334,318,2245,534,764,3040,0,2761,2429,1857,1641
person:811,1323,434,3069,519,3294,3525,1048,2761,0,1126,1508,1120
bird:808,1298,1059,2745,1034,2938,3145,637,2429,1126,0,627,1173
bird:820,1017,1260,2167,1194,2348,2546,1264,1857,1508,627,0,989
person:838,203,692,1948,603,2174,2405,1623,1641,1120,1173,989,0
