,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:86,bird:88
person:1,0,873,2595,1930,1356,2250,3034,3416,1447,992
person:2,873,0,1726,1068,485,1383,2164,2551,1325,1019
person:3,2595,1726,0,667,1240,344,439,827,2233,2283
person:4,1930,1068,667,0,584,325,1106,1485,1681,1658
person:5,1356,485,1240,584,0,897,1679,2065,1433,1266
person:9,2250,1383,344,325,897,0,783,1168,1954,1967
person:66,3034,2164,439,1106,1679,783,0,401,2616,2699
person:73,3416,2551,827,1485,2065,1168,401,0,2901,3025
bird:86,1447,1325,2233,1681,1433,1954,2616,2901,0,456
bird:88,992,1019,2283,1658,1266,1967,2699,3025,456,0
