,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:820,person:838,bird:808,bird:824
person:648,0,888,1752,806,1978,2209,1445,1329,1160,218,1493,1511
person:652,888,0,2639,85,2866,3097,2333,445,1103,670,1031,831
person:703,1752,2639,0,2558,229,463,319,3081,2517,1970,3043,3182
handbag:723,806,85,2558,0,2785,3015,2250,523,1055,588,1027,858
person:778,1978,2866,229,2785,0,234,536,3307,2710,2196,3246,3395
person:675,2209,3097,463,3015,234,0,764,3537,2909,2426,3453,3613
person:803,1445,2333,319,2250,536,764,0,2773,2203,1662,2724,2863
person:811,1329,445,3081,523,3307,3537,2773,0,1267,1111,970,631
bird:820,1160,1103,2517,1055,2710,2909,2203,1267,0,1062,584,892
person:838,218,670,1970,588,2196,2426,1662,1111,1062,0,1325,1311
bird:808,1493,1031,3043,1027,3246,3453,2724,970,584,1325,0,394
bird:824,1511,831,3182,858,3395,3613,2863,631,892,1311,394,0
