,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:820,person:838,bird:808
person:648,0,878,1758,801,1991,2219,1445,1318,1321,224,1757
person:652,878,0,2636,79,2869,3098,2323,442,1008,655,1191
person:703,1758,2636,0,2559,235,468,324,3076,2819,1982,3344
handbag:723,801,79,2559,0,2792,3020,2246,517,991,578,1211
person:778,1991,2869,235,2792,0,234,549,3309,3027,2214,3556
person:675,2219,3098,468,3020,234,0,774,3536,3227,2442,3760
person:803,1445,2323,324,2246,549,774,0,2762,2496,1668,3020
person:811,1318,442,3076,517,3309,3536,2762,0,1054,1094,1017
bird:820,1321,1008,2819,991,3027,3227,2496,1054,0,1165,540
person:838,224,655,1982,578,2214,2442,1668,1094,1165,0,1568
bird:808,1757,1191,3344,1211,3556,3760,3020,1017,540,1568,0
