,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:820,person:838,bird:808,bird:857,bird:858
person:648,0,875,1759,801,1994,2222,1447,1322,1377,245,1792,713,843
person:652,875,0,2634,76,2869,3098,2322,449,1000,631,1232,1272,1380
person:703,1759,2634,0,2561,236,470,324,3081,2907,2004,3373,1730,1743
handbag:723,801,76,2561,0,2795,3024,2248,520,987,557,1248,1198,1308
person:778,1994,2869,236,2795,0,234,550,3315,3118,2238,3585,1935,1939
person:675,2222,3098,470,3024,234,0,775,3543,3319,2466,3788,2132,2128
person:803,1447,2322,324,2248,550,775,0,2767,2584,1691,3049,1411,1430
person:811,1322,449,3081,520,3315,3543,2767,0,1007,1077,1055,1640,1734
bird:820,1377,1000,2907,987,3118,3319,2584,1007,0,1203,468,1187,1210
person:838,245,631,2004,557,2238,2466,1691,1077,1203,0,1592,795,923
bird:808,1792,1232,3373,1248,3585,3788,3049,1055,468,1592,0,1656,1677
bird:857,713,1272,1730,1198,1935,2132,1411,1640,1187,795,1656,0,130
bird:858,843,1380,1743,1308,1939,2128,1430,1734,1210,923,1677,130,0
