,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:820,person:838,bird:808,bird:857,bird:858,bird:845
person:648,0,874,1758,801,1994,2219,1445,1329,1453,266,1845,687,834,1156
person:652,874,0,2632,75,2868,3094,2319,457,1022,607,1284,1215,1349,1868
person:703,1758,2632,0,2559,238,468,324,3087,2998,2024,3419,1775,1775,1316
handbag:723,801,75,2559,0,2795,3021,2246,527,1016,535,1300,1143,1279,1793
person:778,1994,2868,238,2795,0,231,552,3322,3212,2260,3633,1984,1974,1483
person:675,2219,3094,468,3021,231,0,774,3547,3412,2486,3832,2181,2161,1645
person:803,1445,2319,324,2246,552,774,0,2772,2675,1712,3095,1455,1460,1037
person:811,1329,457,3087,527,3322,3547,2772,0,986,1062,1096,1587,1705,2259
bird:820,1453,1022,2998,1016,3212,3412,2675,986,0,1276,420,1230,1268,1847
person:838,266,607,2024,535,2260,2486,1712,1062,1276,0,1647,787,938,1355
bird:808,1845,1284,3419,1300,3633,3832,3095,1096,420,1647,0,1650,1683,2256
bird:857,687,1215,1775,1143,1984,2181,1455,1587,1230,787,1650,0,151,676
bird:858,834,1349,1775,1279,1974,2161,1460,1705,1268,938,1683,151,0,587
bird:845,1156,1868,1316,1793,1483,1645,1037,2259,1847,1355,2256,676,587,0
