,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,kite:820,bird:845
person:648,0,879,1753,805,1992,2215,1444,1339,1599,1140
person:652,879,0,2632,77,2871,3094,2322,462,1080,1834
person:703,1753,2632,0,2558,240,467,320,3092,3168,1369
handbag:723,805,77,2558,0,2797,3019,2248,534,1086,1758
person:778,1992,2871,240,2797,0,228,552,3330,3388,1543
person:675,2215,3094,467,3019,228,0,771,3553,3587,1705
person:803,1444,2322,320,2248,552,771,0,2781,2849,1094
person:811,1339,462,3092,534,3330,3553,2781,0,967,2225
kite:820,1599,1080,3168,1086,3388,3587,2849,967,0,1971
bird:845,1140,1834,1369,1758,1543,1705,1094,2225,1971,0
