,person:1,person:2,person:3,person:4,person:5,person:6,bird:7,person:9,bird:12,bird:26,bird:29
person:1,0,842,2995,2161,1265,3351,1284,2353,1021,1705,3553
person:2,842,0,2156,1330,426,2512,1743,1517,966,1034,2833
person:3,2995,2156,0,844,1730,356,3531,642,2588,1575,1416
person:4,2161,1330,844,0,905,1200,2713,210,1768,808,1690
person:5,1265,426,1730,905,0,2086,2027,1091,1139,764,2458
person:6,3351,2512,356,1200,2086,0,3872,999,2932,1910,1410
bird:7,1284,1743,3531,2713,2027,3872,0,2923,945,1964,3582
person:9,2353,1517,642,210,1091,999,2923,0,1978,1006,1633
bird:12,1021,966,2588,1768,1139,2932,945,1978,0,1032,2768
bird:26,1705,1034,1575,808,764,1910,1964,1006,1032,0,1848
bird:29,3553,2833,1416,1690,2458,1410,3582,1633,2768,1848,0
