,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:86,bird:88,bird:71,bird:97
person:1,0,874,2583,1931,1364,2243,3026,3418,1435,995,3079,2806
person:2,874,0,1714,1067,492,1374,2156,2552,1319,1065,2288,2008
person:3,2583,1714,0,655,1221,340,443,840,2228,2329,949,745
person:4,1931,1067,655,0,577,317,1098,1487,1683,1716,1310,1033
person:5,1364,492,1221,577,0,881,1663,2059,1437,1329,1841,1559
person:9,2243,1374,340,317,881,0,783,1178,1952,2018,1124,867
person:66,3026,2156,443,1098,1663,783,0,411,2614,2747,891,812
person:73,3418,2552,840,1487,2059,1178,411,0,2909,3082,887,937
bird:86,1435,1319,2228,1683,1437,1952,2614,2909,0,451,2251,2041
bird:88,995,1065,2329,1716,1329,2018,2747,3082,451,0,2518,2280
bird:71,3079,2288,949,1310,1841,1124,891,887,2251,2518,0,281
bird:97,2806,2008,745,1033,1559,867,812,937,2041,2280,281,0
