,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:820,handbag:838
person:648,0,879,1750,806,1992,2215,1442,1341,1668,322
person:652,879,0,2630,75,2871,3095,2322,464,1115,588
person:703,1750,2630,0,2557,242,469,317,3092,3245,2053
handbag:723,806,75,2557,0,2798,3021,2249,535,1127,522
person:778,1992,2871,242,2798,0,227,552,3333,3468,2296
person:675,2215,3095,469,3021,227,0,773,3555,3669,2521
person:803,1442,2322,317,2249,552,773,0,2782,2929,1751
person:811,1341,464,3092,535,3333,3555,2782,0,968,1052
bird:820,1668,1115,3245,1127,3468,3669,2929,968,0,1525
handbag:838,322,588,2053,522,2296,2521,1751,1052,1525,0
