,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:820,bird:863,handbag:838
person:648,0,883,1746,806,1988,2212,1441,1344,1761,1632,341
person:652,883,0,2629,79,2872,3096,2325,463,1180,920,591
person:703,1746,2629,0,2552,243,471,314,3090,3338,3301,2058
handbag:723,806,79,2552,0,2795,3019,2247,538,1199,957,522
person:778,1988,2872,243,2795,0,228,550,3332,3562,3533,2302
person:675,2212,3096,471,3019,228,0,771,3555,3764,3745,2528
person:803,1441,2325,314,2247,550,771,0,2784,3025,2986,1760
person:811,1344,463,3090,538,3332,3555,2784,0,1000,663,1052
bird:820,1761,1180,3338,1199,3562,3764,3025,1000,0,352,1627
bird:863,1632,920,3301,957,3533,3745,2986,663,352,0,1439
handbag:838,341,591,2058,522,2302,2528,1760,1052,1627,1439,0
