,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,kite:820,handbag:838
person:648,0,885,1746,810,1988,2211,1443,1344,1855,344
person:652,885,0,2631,77,2874,3097,2328,460,1251,591
person:703,1746,2631,0,2556,243,470,312,3090,3436,2060
handbag:723,810,77,2556,0,2798,3021,2252,534,1275,523
person:778,1988,2874,243,2798,0,227,548,3331,3660,2304
person:675,2211,3097,470,3021,227,0,769,3554,3861,2530
person:803,1443,2328,312,2252,548,769,0,2785,3124,1764
person:811,1344,460,3090,534,3331,3554,2785,0,1043,1050
kite:820,1855,1251,3436,1275,3660,3861,3124,1043,0,1714
handbag:838,344,591,2060,523,2304,2530,1764,1050,1714,0
