,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,handbag:838,bird:870
person:648,0,883,1751,796,1997,2216,1448,1338,333,1074
person:652,883,0,2634,89,2880,3100,2331,457,595,1875
person:703,1751,2634,0,2547,248,471,314,3089,2056,1064
handbag:723,796,89,2547,0,2793,3012,2243,542,516,1786
person:778,1997,2880,248,2793,0,223,552,3335,2304,1258
person:675,2216,3100,471,3012,223,0,769,3554,2526,1435
person:803,1448,2331,314,2243,552,769,0,2784,1760,779
person:811,1338,457,3089,542,3335,3554,2784,0,1051,2296
handbag:838,333,595,2056,516,2304,2526,1760,1051,0,1404
bird:870,1074,1875,1064,1786,1258,1435,779,2296,1404,0
