,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,handbag:838,bird:870,bird:873
person:648,0,881,1755,788,1999,2220,1460,1332,328,1043,966
person:652,881,0,2636,95,2880,3102,2341,453,595,1827,1495
person:703,1755,2636,0,2543,244,470,306,3087,2057,1134,1744
handbag:723,788,95,2543,0,2787,3008,2247,544,511,1733,1409
person:778,1999,2880,244,2787,0,227,543,3331,2302,1330,1943
person:675,2220,3102,470,3008,227,0,761,3552,2526,1506,2118
person:803,1460,2341,306,2247,543,761,0,2790,1768,853,1455
person:811,1332,453,3087,544,3331,3552,2790,0,1048,2239,1841
handbag:838,328,595,2057,511,2302,2526,1768,1048,0,1366,1211
bird:870,1043,1827,1134,1733,1330,1506,853,2239,1366,0,613
bird:873,966,1495,1744,1409,1943,2118,1455,1841,1211,613,0
