,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:86,bird:88,bird:71,kite:97,kite:76
person:1,0,873,2577,1929,1374,2238,3023,3419,1408,985,3105,2778,1330
person:2,873,0,1708,1065,502,1370,2153,2553,1322,1101,2314,1981,709
person:3,2577,1708,0,650,1205,338,445,848,2264,2380,973,740,1469
person:4,1929,1065,650,0,565,314,1096,1490,1719,1771,1338,1012,869
person:5,1374,502,1205,565,0,867,1650,2051,1464,1386,1859,1525,622
person:9,2238,1370,338,314,867,0,784,1184,1989,2071,1154,855,1162
person:66,3023,2153,445,1096,1650,784,0,415,2654,2800,898,818,1893
person:73,3419,2553,848,1490,2051,1184,415,0,2956,3140,884,958,2245
bird:86,1408,1322,2264,1719,1464,1989,2654,2956,0,442,2323,2063,870
bird:88,985,1101,2380,1771,1386,2071,2800,3140,442,0,2598,2309,910
bird:71,3105,2314,973,1338,1859,1154,898,884,2323,2598,0,334,1795
kite:97,2778,1981,740,1012,1525,855,818,958,2063,2309,334,0,1478
kite:76,1330,709,1469,869,622,1162,1893,2245,870,910,1795,1478,0
