,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,handbag:838,bird:870,bird:873,kite:877,kite:880
person:648,0,870,1763,774,2008,2229,1470,1321,322,979,947,1906,1006
person:652,870,0,2633,98,2878,3099,2340,454,593,1743,1411,2751,941
person:703,1763,2633,0,2538,245,471,304,3085,2057,1199,1844,591,2447
handbag:723,774,98,2538,0,2782,3003,2243,547,507,1645,1325,2652,887
person:778,2008,2878,245,2782,0,228,542,3329,2302,1404,2050,602,2672
person:675,2229,3099,471,3003,228,0,760,3550,2526,1582,2225,657,2864
person:803,1470,2340,304,2243,542,760,0,2790,1770,914,1554,620,2145
person:811,1321,454,3085,547,3329,3550,2790,0,1047,2154,1745,3184,1146
handbag:838,322,593,2057,507,2302,2526,1770,1047,0,1294,1169,2225,1028
bird:870,979,1743,1199,1645,1404,1582,914,2154,1294,0,646,1067,1294
bird:873,947,1411,1844,1325,2050,2225,1554,1745,1169,646,0,1676,705
kite:877,1906,2751,591,2652,602,657,620,3184,2225,1067,1676,0,2357
kite:880,1006,941,2447,887,2672,2864,2145,1146,1028,1294,705,2357,0
