,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,handbag:838,bird:870,bird:873,kite:877
person:648,0,865,1769,769,2009,2234,1469,1317,318,951,945,1891
person:652,865,0,2634,101,2875,3100,2334,454,593,1707,1376,2730
person:703,1769,2634,0,2538,241,471,312,3087,2058,1233,1899,617
handbag:723,769,101,2538,0,2779,3003,2237,548,507,1607,1286,2629
person:778,2009,2875,241,2779,0,231,545,3327,2299,1435,2102,634
person:675,2234,3100,471,3003,231,0,765,3550,2527,1617,2280,692
person:803,1469,2334,312,2237,545,765,0,2785,1764,938,1600,627
person:811,1317,454,3087,548,3327,3550,2785,0,1047,2117,1702,3162
handbag:838,318,593,2058,507,2299,2527,1764,1047,0,1261,1153,2207
bird:870,951,1707,1233,1607,1435,1617,938,2117,1261,0,666,1078
bird:873,945,1376,1899,1286,2102,2280,1600,1702,1153,666,0,1701
kite:877,1891,2730,617,2629,634,692,627,3162,2207,1078,1701,0
