,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,handbag:838,bird:870,bird:873,bird:877
person:648,0,865,1769,769,2009,2235,1470,1317,315,914,945,1868
person:652,865,0,2635,101,2875,3101,2336,454,595,1665,1341,2704
person:703,1769,2635,0,2539,241,473,312,3087,2056,1270,1954,645
handbag:723,769,101,2539,0,2779,3004,2239,547,510,1564,1251,2603
person:778,2009,2875,241,2779,0,232,543,3326,2297,1470,2153,664
person:675,2235,3101,473,3004,232,0,765,3552,2526,1657,2335,731
person:803,1470,2336,312,2239,543,765,0,2786,1764,970,1651,630
person:811,1317,454,3087,547,3326,3552,2786,0,1048,2073,1657,3133
handbag:838,315,595,2056,510,2297,2526,1764,1048,0,1220,1138,2182
bird:870,914,1665,1270,1564,1470,1657,970,2073,1220,0,684,1088
bird:873,945,1341,1954,1251,2153,2335,1651,1657,1138,684,0,1721
bird:877,1868,2704,645,2603,664,731,630,3133,2182,1088,1721,0
