,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,handbag:838,bird:870,bird:873,kite:877,bird:885
person:648,0,867,1766,774,2007,2235,1472,1317,313,878,953,1846,603
person:652,867,0,2633,96,2874,3102,2338,453,594,1622,1313,2681,1064
person:703,1766,2633,0,2541,243,476,308,3083,2053,1305,2003,658,1876
handbag:723,774,96,2541,0,2782,3009,2246,542,511,1526,1230,2584,973
person:778,2007,2874,243,2782,0,233,539,3324,2295,1507,2204,683,2095
person:675,2235,3102,476,3009,233,0,763,3551,2526,1698,2389,757,2300
person:803,1472,2338,308,2246,539,763,0,2787,1765,1006,1704,627,1568
person:811,1317,453,3083,542,3324,3551,2787,0,1046,2028,1618,3108,1431
handbag:838,313,594,2053,511,2295,2526,1765,1046,0,1178,1127,2159,788
bird:870,878,1622,1305,1526,1507,1698,1006,2028,1178,0,698,1106,629
bird:873,953,1313,2003,1230,2204,2389,1704,1618,1127,698,0,1747,351
kite:877,1846,2681,658,2584,683,757,627,3108,2159,1106,1747,0,1736
bird:885,603,1064,1876,973,2095,2300,1568,1431,788,629,351,1736,0
