,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,handbag:838,bird:870,bird:873,bird:877,bird:885,bird:858
person:648,0,870,1763,775,1999,2228,1465,1323,311,790,1003,1744,642,824
person:652,870,0,2633,97,2870,3099,2335,456,589,1502,1230,2576,901,1113
person:703,1763,2633,0,2538,239,474,312,3087,2054,1427,2179,695,2078,2071
handbag:723,775,97,2538,0,2775,3003,2240,548,501,1406,1157,2478,817,1033
person:778,1999,2870,239,2775,0,234,538,3323,2292,1626,2374,745,2294,2275
person:675,2228,3099,474,3003,234,0,763,3551,2523,1823,2564,847,2504,2473
person:803,1465,2335,312,2240,538,763,0,2787,1762,1120,1872,607,1765,1761
person:811,1323,456,3087,548,3323,3551,2787,0,1045,1905,1501,3004,1243,1424
handbag:838,311,589,2054,501,2292,2523,1762,1045,0,1072,1113,2055,724,944
bird:870,790,1502,1427,1406,1626,1823,1120,1905,1072,0,752,1127,708,650
bird:873,1003,1230,2179,1157,2374,2564,1872,1501,1113,752,0,1812,389,179
bird:877,1744,2576,695,2478,745,847,607,3004,2055,1127,1812,0,1835,1754
bird:885,642,901,2078,817,2294,2504,1765,1243,724,708,389,1835,0,227
bird:858,824,1113,2071,1033,2275,2473,1761,1424,944,650,179,1754,227,0
