,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,handbag:838,bird:873,bird:877,bird:885,bird:858
person:648,0,868,1767,772,1998,2230,1465,1323,308,1030,1719,642,833
person:652,868,0,2635,99,2867,3099,2333,457,588,1205,2548,828,1080
person:703,1767,2635,0,2540,234,471,317,3090,2056,2246,706,2141,2118
handbag:723,772,99,2540,0,2771,3002,2237,550,499,1132,2448,742,999
person:778,1998,2867,234,2771,0,236,537,3321,2289,2437,761,2354,2318
person:675,2230,3099,471,3002,236,0,765,3552,2523,2631,871,2568,2520
person:803,1465,2333,317,2237,537,765,0,2786,1760,1935,603,1823,1803
person:811,1323,457,3090,550,3321,3552,2786,0,1045,1461,2977,1166,1384
handbag:838,308,588,2056,499,2289,2523,1760,1045,0,1116,2027,683,930
bird:873,1030,1205,2246,1132,2437,2631,1935,1461,1116,0,1850,435,197
bird:877,1719,2548,706,2448,761,871,603,2977,2027,1850,0,1879,1773
bird:885,642,828,2141,742,2354,2568,1823,1166,683,435,1879,0,264
bird:858,833,1080,2118,999,2318,2520,1803,1384,930,197,1773,264,0
