,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:873,kite:877
person:648,0,847,1781,754,2011,2242,1472,1311,1147,1644
person:652,847,0,2628,96,2859,3089,2319,467,1172,2449
person:703,1781,2628,0,2535,234,468,324,3093,2451,730
handbag:723,754,96,2535,0,2766,2995,2226,557,1115,2353
person:778,2011,2859,234,2766,0,234,543,3323,2643,810
person:675,2242,3089,468,2995,234,0,770,3552,2837,938
person:803,1472,2319,324,2226,543,770,0,2782,2133,585
person:811,1311,467,3093,557,3323,3552,2782,0,1369,2886
bird:873,1147,1172,2451,1115,2643,2837,2133,1369,0,1966
kite:877,1644,2449,730,2353,810,938,585,2886,1966,0
