,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:873,kite:877,bird:892
person:648,0,840,1787,750,2019,2243,1473,1309,1236,1599,1542
person:652,840,0,2627,93,2859,3083,2313,472,1157,2390,1124
person:703,1787,2627,0,2537,234,462,326,3097,2595,779,3090
handbag:723,750,93,2537,0,2769,2993,2223,559,1113,2297,1124
person:778,2019,2859,234,2769,0,228,548,3328,2790,876,3296
person:675,2243,3083,462,2993,228,0,770,3551,2981,1007,3495
person:803,1473,2313,326,2223,548,770,0,2781,2275,617,2766
person:811,1309,472,3097,559,3328,3551,2781,0,1306,2828,1057
bird:873,1236,1157,2595,1113,2790,2981,2275,1306,0,2042,551
kite:877,1599,2390,779,2297,876,1007,617,2828,2042,0,2579
bird:892,1542,1124,3090,1124,3296,3495,2766,1057,551,2579,0
