,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:873,bird:877,bird:892
person:648,0,840,1792,750,2020,2243,1473,1308,1286,1578,1612
person:652,840,0,2632,92,2861,3083,2314,471,1166,2365,1160
person:703,1792,2632,0,2543,231,457,330,3101,2669,817,3179
handbag:723,750,92,2543,0,2771,2993,2223,558,1128,2272,1167
person:778,2020,2861,231,2771,0,225,550,3329,2862,916,3382
person:675,2243,3083,457,2993,225,0,769,3550,3052,1048,3580
person:803,1473,2314,330,2223,550,769,0,2781,2345,643,2851
person:811,1308,471,3101,558,3329,3550,2781,0,1289,2800,1057
bird:873,1286,1166,2669,1128,2862,3052,2345,1289,0,2074,570
bird:877,1578,2365,817,2272,916,1048,643,2800,2074,0,2628
bird:892,1612,1160,3179,1167,3382,3580,2851,1057,570,2628,0
