,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:873,bird:877,bird:892,person:897
person:648,0,840,1801,744,2025,2248,1478,1303,1425,1515,1737,158
person:652,840,0,2641,99,2865,3089,2318,466,1245,2294,1236,686
person:703,1801,2641,0,2545,227,454,335,3104,2824,884,3333,1955
handbag:723,744,99,2545,0,2769,2992,2221,559,1213,2195,1252,591
person:778,2025,2865,227,2769,0,226,550,3327,3010,992,3532,2180
person:675,2248,3089,454,2992,226,0,770,3550,3199,1133,3732,2404
person:803,1478,2318,335,2221,550,770,0,2779,2497,680,3000,1633
person:811,1303,466,3104,559,3327,3550,2779,0,1310,2720,1074,1151
bird:873,1425,1245,2824,1213,3010,3199,2497,1310,0,2123,607,1385
bird:877,1515,2294,884,2195,992,1133,680,2720,2123,0,2691,1668
bird:892,1737,1236,3333,1252,3532,3732,3000,1074,607,2691,0,1647
person:897,158,686,1955,591,2180,2404,1633,1151,1385,1668,1647,0
