,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:873,bird:892,person:897,handbag:838
person:648,0,842,1802,746,2019,2247,1476,1305,1505,1802,164,318
person:652,842,0,2644,100,2861,3090,2319,465,1289,1283,683,552
person:703,1802,2644,0,2548,220,451,337,3107,2909,3401,1961,2102
handbag:723,746,100,2548,0,2764,2992,2221,559,1262,1303,588,463
person:778,2019,2861,220,2764,0,231,545,3323,3088,3593,2179,2321
person:675,2247,3090,451,2992,231,0,771,3550,3281,3797,2408,2550
person:803,1476,2319,337,2221,545,771,0,2779,2580,3066,1638,1782
person:811,1305,465,3107,559,3323,3550,2779,0,1327,1102,1147,1017
bird:873,1505,1289,2909,1262,3088,3281,2580,1327,0,605,1462,1472
bird:892,1802,1283,3401,1303,3593,3797,3066,1102,605,0,1709,1663
person:897,164,683,1961,588,2179,2408,1638,1147,1462,1709,0,155
handbag:838,318,552,2102,463,2321,2550,1782,1017,1472,1663,155,0
