,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:873,person:897,handbag:838
person:648,0,836,1810,736,2023,2255,1483,1296,1575,159,318
person:652,836,0,2646,103,2859,3091,2320,463,1327,681,547
person:703,1810,2646,0,2546,217,452,338,3106,3000,1964,2108
handbag:723,736,103,2546,0,2760,2991,2219,560,1305,584,457
person:778,2023,2859,217,2760,0,235,542,3319,3176,2178,2324
person:675,2255,3091,452,2991,235,0,772,3550,3372,2411,2557
person:803,1483,2320,338,2219,542,772,0,2778,2670,1640,1788
person:811,1296,463,3106,560,3319,3550,2778,0,1333,1144,1010
bird:873,1575,1327,3000,1305,3176,3372,2670,1333,0,1530,1536
person:897,159,681,1964,584,2178,2411,1640,1144,1530,0,160
handbag:838,318,547,2108,457,2324,2557,1788,1010,1536,160,0
