,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:873,person:897,handbag:838,bird:899,kite:900
person:648,0,837,1809,737,2019,2255,1484,1295,1647,164,325,1884,1414
person:652,837,0,2646,104,2857,3093,2322,461,1357,678,544,1392,2191
person:703,1809,2646,0,2546,214,453,336,3104,3092,1968,2114,3462,910
handbag:723,737,104,2546,0,2757,2992,2221,558,1341,580,453,1410,2086
person:778,2019,2857,214,2757,0,239,538,3314,3267,2179,2326,3646,1030
person:675,2255,3093,453,2992,239,0,770,3549,3466,2416,2563,3853,1193
person:803,1484,2322,336,2221,538,770,0,2778,2763,1646,1795,3129,670
person:811,1295,461,3104,558,3314,3549,2778,0,1330,1138,1005,1214,2612
bird:873,1647,1357,3092,1341,3267,3466,2763,1330,0,1595,1598,448,2300
person:897,164,678,1968,580,2179,2416,1646,1138,1595,0,163,1798,1574
handbag:838,325,544,2114,453,2326,2563,1795,1005,1598,163,0,1762,1737
bird:899,1884,1392,3462,1410,3646,3853,3129,1214,448,1798,1762,0,2707
kite:900,1414,2191,910,2086,1030,1193,670,2612,2300,1574,1737,2707,0
