,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:88,bird:71,bird:79
person:1,0,872,2572,1924,1388,2238,3009,3419,883,3045,1240
person:2,872,0,1704,1062,518,1370,2140,2554,1093,2259,647
person:3,2572,1704,0,650,1186,333,437,853,2449,953,1537
person:4,1924,1062,650,0,547,321,1087,1494,1829,1294,923
person:5,1388,518,1186,547,0,852,1622,2037,1431,1794,632
person:9,2238,1370,333,321,852,0,770,1185,2142,1124,1232
person:66,3009,2140,437,1087,1622,770,0,426,2865,904,1956
person:73,3419,2554,853,1494,2037,1185,426,0,3226,923,2326
bird:88,883,1093,2449,1829,1431,2142,2865,3226,0,2640,912
bird:71,3045,2259,953,1294,1794,1124,904,923,2640,0,1824
bird:79,1240,647,1537,923,632,1232,1956,2326,912,1824,0
