,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:873,person:897,handbag:838,bird:863,bird:877
person:648,0,829,1826,724,2019,2262,1491,1284,1904,165,344,1540,1327
person:652,829,0,2655,109,2849,3092,2321,458,1484,668,517,908,2068
person:703,1826,2655,0,2551,196,443,346,3110,3436,1987,2150,3277,1087
handbag:723,724,109,2551,0,2744,2987,2216,559,1491,565,425,949,1959
person:778,2019,2849,196,2744,0,247,531,3303,3600,2181,2345,3458,1205
person:675,2262,3092,443,2987,247,0,771,3545,3807,2424,2589,3686,1375
person:803,1491,2321,346,2216,531,771,0,2774,3095,1654,1821,2930,815
person:811,1284,458,3110,559,3303,3545,2774,0,1343,1125,975,675,2475
bird:873,1904,1484,3436,1491,3600,3807,3095,1343,0,1827,1801,675,2468
person:897,165,668,1987,565,2181,2424,1654,1125,1827,0,181,1419,1481
handbag:838,344,517,2150,425,2345,2589,1821,975,1801,181,0,1337,1662
bird:863,1540,908,3277,949,3458,3686,2930,675,675,1419,1337,0,2450
bird:877,1327,2068,1087,1959,1205,1375,815,2475,2468,1481,1662,2450,0
