,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:873,person:897,handbag:838,airplane:877
person:648,0,836,1817,732,2017,2254,1483,1295,2005,178,357,1276
person:652,836,0,2652,107,2853,3090,2319,462,1564,662,511,2018
person:703,1817,2652,0,2550,203,444,345,3112,3534,1990,2153,1121
handbag:723,732,107,2550,0,2750,2986,2215,562,1577,561,419,1912
person:778,2017,2853,203,2750,0,241,537,3312,3706,2191,2355,1252
person:675,2254,3090,444,2986,241,0,771,3548,3905,2429,2594,1419
person:803,1483,2319,345,2215,537,771,0,2777,3195,1659,1826,842
person:811,1295,462,3112,562,3312,3548,2777,0,1401,1123,973,2428
bird:873,2005,1564,3534,1577,3706,3905,3195,1401,0,1920,1889,2514
person:897,178,662,1990,561,2191,2429,1659,1123,1920,0,180,1442
handbag:838,357,511,2153,419,2355,2594,1826,973,1889,180,0,1622
airplane:877,1276,2018,1121,1912,1252,1419,842,2428,2514,1442,1622,0
