,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838
person:648,0,842,1803,737,2008,2240,1471,1309,189,364
person:652,842,0,2645,106,2850,3082,2313,470,657,494
person:703,1803,2645,0,2541,207,443,342,3112,1988,2157
handbag:723,737,106,2541,0,2746,2978,2208,571,554,396
person:778,2008,2850,207,2746,0,236,540,3317,2194,2363
person:675,2240,3082,443,2978,236,0,769,3548,2426,2596
person:803,1471,2313,342,2208,540,769,0,2778,1658,1829
person:811,1309,470,3112,571,3317,3548,2778,0,1126,964
person:897,189,657,1988,554,2194,2426,1658,1126,0,175
handbag:838,364,494,2157,396,2363,2596,1829,964,175,0
