,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,bird:877
person:648,0,839,1804,734,1998,2239,1471,1309,191,372,1104
person:652,839,0,2643,108,2837,3079,2310,473,652,483,1810
person:703,1804,2643,0,2538,195,441,343,3114,1991,2166,1291
handbag:723,734,108,2538,0,2732,2973,2204,576,549,385,1705
person:778,1998,2837,195,2732,0,246,531,3307,2185,2360,1435
person:675,2239,3079,441,2973,246,0,769,3548,2427,2603,1619
person:803,1471,2310,343,2204,531,769,0,2779,1659,1836,988
person:811,1309,473,3114,576,3307,3548,2779,0,1125,957,2221
person:897,191,652,1991,549,2185,2427,1659,1125,0,180,1270
handbag:838,372,483,2166,385,2360,2603,1836,957,180,0,1437
bird:877,1104,1810,1291,1705,1435,1619,988,2221,1270,1437,0
