,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,bird:877
person:648,0,823,1805,725,1983,2237,1469,1314,207,392,2100,1024
person:652,823,0,2628,100,2806,3060,2293,493,621,449,2923,1671
person:703,1805,2628,0,2530,178,438,345,3119,2008,2187,304,1432
handbag:723,725,100,2530,0,2708,2962,2194,589,525,359,2825,1573
person:778,1983,2806,178,2708,0,260,517,3297,2186,2366,130,1571
person:675,2237,3060,438,2962,260,0,768,3550,2442,2622,137,1769
person:803,1469,2293,345,2194,517,768,0,2782,1674,1856,630,1120
person:811,1314,493,3119,589,3297,3550,2782,0,1114,942,3413,2090
person:897,207,621,2008,525,2186,2442,1674,1114,0,184,2304,1192
handbag:838,392,449,2187,359,2366,2622,1856,942,184,0,2485,1356
person:909,2100,2923,304,2825,130,137,630,3413,2304,2485,0,1645
bird:877,1024,1671,1432,1573,1571,1769,1120,2090,1192,1356,1645,0
