,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,kite:877
person:648,0,817,1808,723,1980,2236,1470,1316,215,395,2100,988
person:652,817,0,2625,97,2797,3053,2287,502,607,435,2917,1615
person:703,1808,2625,0,2531,173,434,348,3124,2018,2196,301,1483
handbag:723,723,97,2531,0,2703,2959,2192,593,516,348,2823,1520
person:778,1980,2797,173,2703,0,261,515,3296,2191,2368,132,1620
person:675,2236,3053,434,2959,261,0,766,3551,2448,2626,136,1821
person:803,1470,2287,348,2192,515,766,0,2784,1682,1861,630,1163
person:811,1316,502,3124,593,3296,3551,2784,0,1109,937,3415,2037
person:897,215,607,2018,516,2191,2448,1682,1109,0,179,2312,1157
handbag:838,395,435,2196,348,2368,2626,1861,937,179,0,2490,1306
person:909,2100,2917,301,2823,132,136,630,3415,2312,2490,0,1698
kite:877,988,1615,1483,1520,1620,1821,1163,2037,1157,1306,1698,0
