,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,kite:877,bird:863
person:648,0,811,1812,729,1976,2237,1468,1317,213,401,2097,898,1571
person:652,811,0,2623,91,2787,3048,2280,509,603,424,2908,1496,936
person:703,1812,2623,0,2541,164,430,352,3129,2020,2205,292,1567,3295
handbag:723,729,91,2541,0,2705,2965,2196,588,525,352,2825,1404,961
person:778,1976,2787,164,2705,0,266,512,3293,2184,2370,132,1704,3453
person:675,2237,3048,430,2965,266,0,768,3552,2446,2632,140,1917,3697
person:803,1468,2280,352,2196,512,768,0,2783,1678,1865,628,1236,2943
person:811,1317,509,3129,588,3293,3552,2783,0,1112,933,3412,1917,665
person:897,213,603,2020,525,2184,2446,1678,1112,0,187,2306,1056,1412
handbag:838,401,424,2205,352,2370,2632,1865,933,187,0,2492,1207,1283
person:909,2097,2908,292,2825,132,140,628,3412,2306,2492,0,1788,3559
kite:877,898,1496,1567,1404,1704,1917,1236,1917,1056,1207,1788,0,1862
bird:863,1571,936,3295,961,3453,3697,2943,665,1412,1283,3559,1862,0
