,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,kite:877,kite:917
person:648,0,804,1815,722,1975,2236,1469,1320,210,402,2092,882,1422
person:652,804,0,2619,95,2779,3041,2273,520,599,419,2896,1453,2184
person:703,1815,2619,0,2538,161,427,356,3136,2020,2207,287,1619,808
handbag:723,722,95,2538,0,2697,2958,2190,598,522,353,2813,1358,2092
person:778,1975,2779,161,2697,0,266,511,3296,2181,2368,128,1749,904
person:675,2236,3041,427,2958,266,0,768,3556,2443,2631,144,1964,1085
person:803,1469,2273,356,2190,511,768,0,2787,1676,1865,623,1281,563
person:811,1320,520,3136,598,3296,3556,2787,0,1118,939,3411,1878,2669
person:897,210,599,2020,522,2181,2443,1676,1118,0,191,2299,1031,1629
handbag:838,402,419,2207,353,2368,2631,1865,939,191,0,2487,1186,1819
person:909,2092,2896,287,2813,128,144,623,3411,2299,2487,0,1831,963
kite:877,882,1453,1619,1358,1749,1964,1281,1878,1031,1186,1831,0,902
kite:917,1422,2184,808,2092,904,1085,563,2669,1629,1819,963,902,0
