,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,bird:877,bird:917,bird:918,bird:921,bird:922,bird:923
person:648,0,789,1804,711,1974,2238,1470,1327,206,401,2090,903,1354,1775,1172,917,1298
person:652,789,0,2593,89,2764,3027,2260,540,589,413,2879,1369,2098,1230,590,1632,975
person:703,1804,2593,0,2515,172,440,345,3131,2005,2193,295,1777,837,3417,2906,1184,2852
handbag:723,711,89,2515,0,2685,2948,2180,616,515,351,2800,1282,2010,1240,594,1544,943
person:778,1974,2764,172,2685,0,268,508,3301,2176,2364,126,1915,947,3572,3070,1328,3005
person:675,2238,3027,440,2948,268,0,768,3563,2440,2629,148,2132,1141,3810,3321,1556,3239
person:803,1470,2260,345,2180,508,768,0,2795,1673,1863,620,1448,575,3073,2562,853,2509
person:811,1327,540,3131,616,3301,3563,2795,0,1129,951,3415,1787,2605,987,543,2132,1018
person:897,206,589,2005,515,2176,2440,1673,1129,0,195,2292,1023,1557,1646,1021,1111,1211
handbag:838,401,413,2193,351,2364,2629,1863,951,195,0,2481,1168,1751,1552,911,1302,1172
person:909,2090,2879,295,2800,126,148,620,3415,2292,2481,0,1996,1012,3668,3175,1416,3098
bird:877,903,1369,1777,1282,1915,2132,1448,1787,1023,1168,1996,0,1000,1718,1360,595,1141
bird:917,1354,2098,837,2010,947,1141,575,2605,1557,1751,1012,1000,0,2708,2276,474,2131
bird:918,1775,1230,3417,1240,3572,3810,3073,987,1646,1552,3668,1718,2708,0,646,2257,577
bird:921,1172,590,2906,594,3070,3321,2562,543,1021,911,3175,1360,2276,646,0,1805,478
bird:922,917,1632,1184,1544,1328,1556,853,2132,1111,1302,1416,595,474,2257,1805,0,1684
bird:923,1298,975,2852,943,3005,3239,2509,1018,1211,1172,3098,1141,2131,577,478,1684,0
